ID,artworkName,artistName,Time,Description,Size (in.),Size_cm,w (cm),h/cm,w/in,h/in,,,,,,,,,,,,,,,
501,Deux Nus,Jean Metzinger,1910-1911,"Deux Nus (Two Nudes, Two Women) is an early Cubist painting by the French artist and theorist Jean Metzinger. The work was exhibited at the first Cubist manifestation, in Room 41 of the 1911 Salon des Indépendants, Paris. At this exhibition the Cubist movement was effectively launched before the general public by five artists: Metzinger, Gleizes, Le Fauconnier, Delaunay and Léger. This was the first exhibition during which artists, writers, critics and the public at large encountered and spoke about Cubism. The result of the group show is a succès de scandale.",36 in × 26 in,92  × 66 ,92,66,36.22047244,25.98425197,,,,,,,,,,,,,,,
502,Violin and Candlestick,Georges Braque,1910,N/A,,60.96 x 50.17 ,60.96,50.17,24,19.7519685,,,,,,,,,,,,,,,
503,La Femme aux Phlox,Albert Gleizes,1910,"The painting was exhibited in Room 41 at the Salon des Indépendants in the Spring of 1911; the exhibition that introduced Cubism as a group manifestation to the general public for the first time. The complex collection of geometric masses in restrained colors exhibited in Room 41 created a scandal from which Cubism spread throughout Paris, France, Europe and the rest of the world. 
The painting represents a woman sitting in an interior setting, with a vase of flowers (phloxes) in front and another to her left. The window behind the sitter opens out onto an exterior scene, the whole blurring the distinction between interior and exterior.",31 in × 39 in,78.7 x 99,78.74,99.06,31,39,,,,,,,,,,,,,,,
504,L'Abondance (Abundance),Henri Le Fauconnier,1910,"Henri Victor Gabriel Le Fauconnier (July 5, 1881 – December 25, 1946) was a French Cubist painter born in Hesdin. Le Fauconnier was seen as one of the leading figures among the Montparnasse Cubists. At the 1911 Salon des Indépendants Le Fauconnier and colleagues Jean Metzinger, Albert Gleizes, Fernand Léger and Robert Delaunay caused a scandal with their Cubist paintings.",,N/A,0,0,,,,,,,,,,,,,,,,,
505,Still Life with a Bottle of Rum,Pablo Picasso,1911,"Pablo Picasso was a Spanish painter, sculptor, printmaker, ceramicist, stage designer, poet and playwright who spent most of his adult life in France. Regarded as one of the most influential artists of the 20th century, he is known for co-founding the Cubist movement. 
Portrait of Daniel-Henry Kahnweiler is a 1910 oil on canvas painting by Pablo Picasso in the Analytical Cubism style.",,N/A,0,0,,,,,,,,,,,,,,,,,
506,Les Joueurs de football,Albert Gleizes,1912,"Les Joueurs de football, also referred to as Football Players. The work was featured at Galeries Dalmau in Barcelona, 29 November – 12 December 1916, Gleizes' first one-person show. Gleizes employs a wide array of primary colors, grays, earth tones and umbers. Unlike the preferred subject matter of Pablo Picasso and Georges Braque, Gleizes has depicted a vast scene, combining a sporting event with a semi-urban or industrial landscape in the background. The rich juxtaposition of divers elements present within the piece are tied together in a Cubist idiom by an interlocking grid of diagonal lines, facets, intersecting plains and spheres.",88.75 in × 72.04 in,225.4 x 183,225.425,182.9816,88.75,72.04,,,,,,,,,,,,,,,
507,Maquette for Guitar,Pablo Picasso,1912,"Picasso's experiments with collaged elements encouraged him to reconsider sculpture as well. Rather than a collage, however, Maquette for Guitar is an assemblage (or three-dimensional collage). While traditional sculpture was made up of a mass (or solid) surrounded by a void, using a material such as wood or marble that was then shaped by the hand of the artist, Picasso here takes pieces of cardboard, paper, string, and wire that he then folded, threaded, and glued together. This is the first time that a sculpture had been assembled from disparate parts. Rather than being a solid material, it fluidly integrates mass and its surrounding void. Picasso translated the Cubist interest in multiple perspectives and geometric form into a three-dimensional medium.",N/A,191 x 123 ,191,123,75.19685039,48.42519685,,,,,,,,,,,,,,,
508,Man on a Balcony,Albert Gleizes,1912,"Gleizes deliberately contrasts angular and curved shapes, while the tubular, block-like forms of the figure and head are derived directly from the principled of Cubism, as laid out in Du ""Cubisme"".",,61.3 × 50.5 ,61.3,50.5,24.13385827,19.88188976,,,,,,,,,,,,,,,
509,"Kiss of Death, oil on canvas",Bohumil Kubišta,1912,N/A,,55 × 45 ,55,45,21.65354331,17.71653543,,,,,,,,,,,,,,,
510,La Source (The Spring),Francis Picabia,1912,N/A,,200.7 × 222.9 ,200.7,222.9,79.01574803,87.75590551,,,,,,,,,,,,,,,
511,"Bouteille, clarinet, violon, journal, verre",Pablo Picasso,1913,"Pablo Picasso was a Spanish painter, sculptor, printmaker, ceramicist, stage designer, poet and playwright who spent most of his adult life in France. Regarded as one of the most influential artists of the 20th century, he is known for co-founding the Cubist movement. ",,81.3 x 61,81.28,60.96,32,24,,,,,,,,,,,,,,,
512,Conquest of the Air,Robert de la Fresnaye,1913,"La Fresnaye's colorful and optimistic paintings did much to popularize Cubism before World War I. In The Conquest of Air, his most famous work, he depicts himself with his brother Henri, sitting at a table outdoors. The yellow hot-air balloon in the distant background likely refers to the oldest balloon race in the world, the Gordon Bennett cup, which took place annually from 1906 to 1938, with breaks during the war years. The race alternated between European cities, but was held first in Paris in 1906 and again in 1913. A French crew won the race in 1912, adding to their national honor in this arena as the French had invented the hot-air balloon in 1783, no doubt explaining the celebratory French flag in the painting.",,N/A,0,0,,,,,,,,,,,,,,,,,
513,Soldier at a Game of Chess,Jean Metzinger,1914,"The vertical composition is painted in a geometrically advanced Cubist style, representing a solitary French soldier playing a game of chess. He wears a military hat (képi) and bears a cigarette in his mouth. Because of this, Joann Moser suggests that this may be a self-portrait. Images of Metzinger often depicted him with a cigarette in his mouth: consider for example Robert Delaunay's 1906 Portrait of Metzinger (Man with a Tulip); Suzanne Phocas, Portrait de Metzinger, 1926.",,N/A,0,0,,,,,,,,,,,,,,,,,
514,Electric Prisms,Sonia Delaunay,1914,"Robert and Sonia Delaunay exhibited with the Salon Cubists, and later founded the Orphism movement that was heavily influenced by Cubism. Like all Cubists, they used geometric forms and flattened perspective to show visual manipulation of their subject, but the Delaunays in particular had metaphysical interests in color and concept, often overlapping multiple scenes and views to suggest a fourth dimension. Electric Prisms uses the sphere to represent this idea of overlap. In the work, different spheres convene into large concentric circles that are arranged to depict dynamic movement of electricity. Orphism was a short-lived movement but was a key phase in the transition from Cubism to non-representational art.",,235.9 x 195.6 ,81.28,60.96,92.87401575,77.00787402,,,,,,,,,,,,,,,
515,"Still Life with Open Window, Rue Ravignan",Juan Gris,1915,"Of the Salon Cubists, Juan Gris' work is often considered closest to that of Picasso and Braque with whom Gris was in close contact beginning in 1911. By 1914, Gris had developed collage techniques in which he pasted elements from newspapers and magazines onto deconstructed, abstract scenes. His works were sometimes actual collages, but could also be paintings that resembled collages as in Still Life with Open Window. In this work Gris combined interior and exterior views through interlocking elements and subtle shifts in color, including an intense blue that suffuses the work and, like Synthetic Cubism, reintroduces color to the Cubist style.",w35 x h45.63 in,89 x 116,88.9,115.9002,35,45.63,,,,,,,,,,,,,,,
516,Femme au miroir,Jean Metzinger,1916,"Femme au miroir (en. Woman with a Mirror), or Lady at her Dressing Table, is a painting by the French artist Jean Metzinger. This distilled synthetic form of Cubism exemplifies Metzinger's continued interest, in 1916, towards less surface activity, with a strong emphasis on larger, flatter, overlapping abstract planes. The manifest primacy of the underlying geometric configuration, rooted in the abstract, controls nearly every element of the composition. The role of color remains primordial, but is now restrained within sharp delineated boundaries in comparison with several earlier works. The work of Juan Gris from the summer of 1916 to late 1918 bares much in common with that of Metzinger's late 1915, early 1916 paintings.",36.37 in × 25.62 in,92.4 x 65.1,92.3798,65.0748,36.37,25.62,,,,,,,,,,,,,,,
517,Bohémien Jouant de L'Accordéon (The Accordion Player),Gino Severini,1919,N/A,N/A,183.5 x 251.5 ,183.5,251.5,72.24409449,99.01574803,,,,,,,,,,,,,,,
518,Woman with Black Glove,Albert Gleizes,1920,"the work represents a woman wearing a glove. The overall color scheme is warm, consisting of red through yellow, browns and tans (earth tones, ochres), and black, along with varying shades of cool gray. The artists use of bold contrasts between light and dark affect the entire composition. However, there is a striking absence of chiaroscuro modeling that would otherwise indicate a sense of volume in modeling the three-dimensional figure, or give a sense of the direction of light cast upon the model. The overt distillation of the composition, with its emphasis placed on flat surface activity, large overlapping planes, and the primacy of the underlying geometric structure rooted in the abstract, is consistent with Crystal Cubism, which represents a break from the first phase of Cubism.  ",49.6 in × 39.37 in,195.6  × 114.9 ,,,49.6,39.37,,,,,,,,,,,,,,,
519,Three Musicians,Pablo Picasso,1921,"Three Musicians is the title of two similar collage and oil paintings by Spanish artist Pablo Picasso. They were both completed in 1921 in Fontainebleau near Paris, France, and exemplify the Synthetic Cubist style; the flat planes of color and ""intricate puzzle-like composition"" echoing the arrangements of cutout paper with which the style originated. These paintings each colorfully represent three musicians wearing masks in the tradition of the popular Italian theater Commedia dell'arte.",,"154,5 x 90 ",154.5,90,60.82677165,35.43307087,,,,,,,,,,,,,,,
520,Three Women,Fernand Léger,1921,"In Three Women, Léger updates the traditional theme of the reclining nude into a modern vocabulary that combines his various influences from Cubism and Futurism. The geometric forms of the figures indicate his Cubist sources, while his reliance on machine-like imagery is borrowed from Futurism. His pristine and colorful geometric forms are, however, much different from the faux low-relief sculptural effects used in Analytic Cubism. The shapes that make up the figures and objects, for example, do not overlap in the foreground, but are used to create an illusion of three-dimensionality. Thus, the furniture, the bodies of the women, and the spaces between them are easily distinguished.","6' 1/4"" x 8' 3""",249.6 x 249.3 ,249.6,249.3,98.26771654,98.1496063,,,,,,,,,,,,,,,
601,View of Toledo,El Greco,1600,"View of Toledo (original title Vista de Toledo), is one of the two surviving landscapes painted by El Greco. The other, View and Plan of Toledo lies at Museo Del Greco, Toledo, Spain. View of Toledo is among the best known depictions of the sky in Western art, along with Vincent van Gogh's The Starry Night and the landscapes of J. M. W. Turner and Claude Monet, among others. Most notable is the distinct color contrast between the dark and somber skies above and the glowing green hills below. While influenced by the Mannerist style, El Greco's expressive handling of color and form is without parallel in the history of art.[1] In this painting, he takes liberties with the actual layout of Toledo insofar as certain building locations are re-arranged. However, the location of the Castle of San Servando, on the left, is accurately depicted. El Greco's signature appears in the lower-right corner.",47.8 in × 42.8 in,108.7 x 121.4,108.712,121.412,42.8,47.8,,,,,,,,,,,,,,,
602,Cardinal Fernando Niño de Guevara (1541–1609),El Greco,1600,"This intense portrait depicts Fernando Niño de Guevara (1541–1609), who in 1596 was named cardinal and is dressed as such here. In 1599 he became Inquisitor General of Spain but resigned in 1602 to serve the rest of his life as Archbishop of Seville. The painting probably dates from the spring of 1600 when the cardinal was in Toledo with Philip III and members of the Madrid court. El Greco had lived in Venice and in the Farnese Palace in Rome, where Titian’s portraits (such as those of the Farnese Pope Paul III) would have revealed to the Greek painter the psychological possibilities of portraiture.",67 1/4 x 42 1/2in.,108 x 171,107.95,170.815,42.5,67.25,,,,,,,,,,,,,,,
603,The Scream,Edvard Munch,1893,"The Scream (Norwegian: Skrik) is the popular name given to each of four versions of a composition, created as both paintings and pastels, by Norwegian Expressionist artist Edvard Munch between 1893 and 1910. The German title Munch gave these works is Der Schrei der Natur (The Scream of Nature). The works show a figure with an agonized expression against a landscape with a tumultuous orange sky. Arthur Lubow has described The Scream as ""an icon of modern art, a Mona Lisa for our time.""[1]",36 in × 28.9 in,73.4 x 91.4,73.406,91.44,28.9,36,,,,,,,,,,,,,,,
604,Reiter (Lyrishes),Wassily Kandinsky,1911,N/A,,130 x 94,130,94,51.18110236,37.00787402,,,,,,,,,,,,,,,
605,Portrait of a German Officer,Marsden Hartley,1914,"This monumental painting is the centerpiece of a series that evokes the dynamism, pageantry, and danger of life in Berlin during World War I. The painting’s collagelike appearance, dramatic color, and emotional brushwork attest to Hartley’s skillful synthesis of Cubism and German Expressionism. Hartley’s composition is an abstract portrait of Karl von Freyburg, a Prussian lieutenant whom the artist loved and who died in the war. Von Freyburg is portrayed symbolically with the initials, ""K.v.F.""; his regiment number, 4; his age at death, 24; and the Iron Cross that he received posthumously.",68 1/4 x 41 3/8 in.,105.1 x 173.4,105.0925,173.355,41.375,68.25,,,,,,,,,,,,,,,
606,Rehe im Walde,Franz Marc,1914,N/A,43.5 × 39.3 in,99.8 x 110.5,99.822,110.49,39.3,43.5,,,,,,,,,,,,,,,
607,Coney Island,Joseph Stella,1914,"A kaleidoscope of dazzling color and fragmented form, Stella’s abstract painting evokes the electric lights and energetic crowds of Brooklyn’s Coney Island amusement park and boardwalk. Celebrating the intoxicating and sometimes disorienting dynamism of modern life, Coney Island reveals the painter’s knowledge of Italian Futurism, which Stella was exposed to during a trip to Italy and France in 1910–11. The composition’s circular, or tondo, format links it to Renaissance depictions of holy subjects.",32 7/16 × 36 5/16 in,92.2 x 82.4,92.23,82.39,36.31102362,32.43700787,,,,,,,,,,,,,,,
608,The Last Ones,Max Beckmann,1919,N/A,34 3/4 x 23 1/4 in.,59.1 x 88.3,59.055,88.265,23.25,34.75,,,,,,,,,,,,,,,
609,The False Front,Charles Burchfield,1920,N/A,21 x 30 in.,76.2 x 53.3,76.2,53.34,30,21,,,,,,,,,,,,,,,
610,Sokea soittoniekka (Blind Musician),Alvar Cawén,1922,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,
611,Steeplechase,Milton Avery,1929,"""Steeplechase"" serves as an example of his artistic development soon after moving to New York. Weekend excursions to Coney Island, a popular, recreational ocean-side site in Brooklyn, were a favorite summer pastime for the Averys. Years later, Sally Avery reminisced: ""The subway fare to Coney Island was five cents; with…our sketchbooks in our knapsacks, we could spend a fascinating holiday at the beach. We reveled in the crowds…the wonderful smells of hot dogs and knishes…we listened to the barkers extolling the virtues of the bearded lady, the snake charmer, and the sword swallower—our free mini show."" In Avery's painting a bustling scene of Coney Island is presented, replete with sunbathers, crowds, tent, rifle range, and roller coaster. Humor is particularly apparent in the oddly shaped figures, posed awkwardly on the beach. Avery has achieved subtleties of tone with a limited range of color and a scumbled texture with his brushwork, in which thin layers of pigment were rubbed onto the canvas with a stiff brush, producing a swirl of marks. The composition achieves a sense of spatial depth through the arrangement of elements along successively receding horizontal layers.",32 x 40 in.,101.6 x 81.3,101.6,81.28,40,32,,,,,,,,,,,,,,,
612,Water of the Flowery Mill,Arshile Gorky,1944,"Water of the Flowery Mill is part of a group of landscape-inspired works that Gorky produced during the last six years of his life. Based on his study of an old mill and bridge on the Housatonic River in Connecticut, it also evokes the artist’s nostalgia for Armenia, from which he and his family had fled some twenty years earlier. Influenced by Surrealism, Gorky’s fluid, biomorphic abstraction translates the landscape into flat, overlapping fields of color and seems to anticipate the gestural brushwork of Abstract Expressionism, a movement that emerged in the 1950s.",42 1/4 x 48 3/4 in.,123.8 x 107.3,123.7869,107.315,48.735,42.25,,,,,,,,,,,,,,,
613,The Beginning,Max Beckmann,1946,"As a child growing up in Leipzig, Germany, Beckmann was especially fond of illustrating imaginative journeys. In Beginning, Beckmann looks back to his childhood with fondness and humor. Completed in 1949 when the artist was sixty-five years old, the panels are autobiographical. Beckmann’s memories of his schooldays in Germany are balanced by a dream fantasy on the right and left panels, respectively. In the central panel, childhood memories and dreamworlds intermingle. Deeply impacted by both World Wars and his exile from Germany, Beckmann’s work typically integrates tragic themes with expressionistic brushwork and bright colors.",69 in. × 125 1/2 in.,318.8 x 175.3,318.77,175.26,125.5,69,,,,,,,,,,,,,,,
614,War,Jackson Pollock,1947,"Pollock's famous ""War"" is the only drawing he ever titled, and, although inscribed ""1947,"" it relates to the iconographically complex images he produced earlier, around 1943–44. In this composition, the monstrous destruction of war is conveyed both by the fierceness of the graphic execution and by the imagery, much of which is camouflaged by the many linear motions, darkened and thickened and highlighted with flashes of red and yellow pencil to heighten the dramatic intensity. The drawing's narrative is one of horrific proportions. A human figure and a bull are flung onto a raging pyre of human debris. To the right, the crucifixion of a hooded figure is suggested. Some of the imagery may be traced to Picasso's pair of etchings ""The Dream and Lie of Franco,"" and to the Spanish artist's epic painting on war, ""Guernica,"" both from 1937. Yet even as Pollock's work engages with the history of art and offers a statement on the universal horrors of war, it also has a personal dimension, drawing on from the psychological language of Surrealism that fueled his early works.",20 5/8 x 26 in.,66 x 52.5,66.04,52.5145,26,20.675,,,,,,,,,,,,,,,
615,Attic,Willem de Kooning,1949,"Between 1946 and 1949, de Kooning produced a series of highly abstract black-and-white-paintings that culminated in ""Attic,"" in which angular, thrusting forms collide with organic, curvilinear ones to yield a high-pitched, expressive picture. The dense web of white shapes and black lines makes it difficult to sort out relationships between form and space, though it is still possible to determine a figural basis for the scene. Stretched across the canvas are biomorphic symbols and shapes that allude to the curves and forms of human anatomy. De Kooning's palette of black and white, with touches of red and yellow, was determined in part by the availability of inexpensive commercial enamel paint. Although restricted in his use of color, de Kooning displays virtuosity in his sensuous, expressive handling of paint, surface, and line. His gestural brushwork and dynamic allover composition exemplify the new visual language adopted by the Abstract Expressionist painters. De Kooning routinely made revisions on his canvases, and ""Attic"" was exhibited at two different stages of completion. To accelerate the drying time of the paint, he blotted sheets of newspaper over the wet canvas, and the surface bears evidence of transferred newsprint. Immediately following ""Attic,"" de Kooning reintroduced full color into his work, already hinted at here in the touches of red and yellow, and he soon returned to the figurative imagery for which he is best known.",61 7/8 x 81 in.,206.7 x 157.2,206.6925,157.1625,81.375,61.875,,,,,,,,,,,,,,,
616,Autumn Rhythm (Number 30),Jackson Pollock,1950,"In Autumn Rhythm, as in many of his paintings, Pollock first created a complex linear skeleton using black paint. For this initial layer the paint was diluted, so that it soaked into the length of unprimed canvas, thereby inextricably joining image and support. Over this black framework Pollock wove an intricate web of white, brown, and turquoise lines, which produce the contrary visual rhythms and sensations: light and dark, thick and thin, heavy and buoyant, straight and curved, horizontal and vertical. Textural passages that contribute to the painting's complexity — such as the pooled swirls where two colors meet and the wrinkled skins formed by the build-up of paint — are barely visible in the initial confusion of overlapping lines. Although Pollock's imagery is nonrepresentational, Autumn Rhythm is evocative of nature, not only in its title but also in its coloring, horizontal orientation, and sense of ground and space.",105 x 207 in.,525.8 x 266.7,525.78,266.7,207,105,,,,,,,,,,,,,,,
617,"No. 13 (White, Red on Yellow)",Mark Rothko,1958,"Abstract Expressionism, the style of painting that achieved prominence in the 1950s, encompasses two very different sensibilities. One, exemplified by the work of Jackson Pollock and Willem de Kooning, is characterized by energetic brushwork and rhythmic, dynamic compositions; the other, contemplative in tone and made up of subtle color harmonies, relatively static compositions, and simple forms, is embodied by the paintings of Mark Rothko.",95 1/4 × 81 3/8 in.,206.7 x 241.9,206.6925,241.935,81.375,95.25,,,,,,,,,,,,,,,
618,Winter Pool,Robert Rauschenberg,1959,"Winter Pool, the first painting by Rauschenberg to enter the Museum's collection, is a prime example of a very important period in this highly inventive and influential artist's work—the mid-1950s to the early 1960s—when he created bold objects that were a hybrid of painting and sculpture and a reinvention of collage. He called them Combines. In Cubist collage, pasted papers add up to a readable image, such as a still life. With Combines, there is no narrative and the interpretation is left to the viewer. The work, in exceptionally fresh condition, consists of two separate canvases, each about the height of a man. A wooden ladder bridges the gap between them, and its legs extend to the floor, inviting the viewer to climb into the picture. The compositions of both canvases consist of syncopated grids formed by rectangles of paint and found objects: shirt cuffs, a handkerchief, poster letters, and photographic reproductions. Rauschenberg's virtuoso handling of paint both exploits and confronts the dominant painterly style of the early 1950s—Abstract Expressionism—and undermines the Renaissance notion that a painting shows an ideal world behind the canvas surface.",H. 90-1/2 x W. 59-1/2 x D. 4 in.,151.1 x 230,151.13,229.87,59.5,90.5,,,,,,,,,,,,,,,
619,The Street,Philip Guston,1977,"""The Street"" is a serious investigation into states of disorder and confusion presented in the vernacular language of cartoon figures and naïve drawing. The composition is divided into three vertical sections, each depicting a different state of being: passive decay, violent aggression, and total disarray. At the right, a large trashcan is stuffed to overflowing with empty bottles, old strips of wood, a shoe, and other refuse. In the center is a barrage of disembodied limbs, hairy and paw-like, wielding trashcan lids as shields. These arms confront to the left a wave of skinny, interlocked legs whose movements seem thwarted by their own oversize shoes. Below, on the horizon line, which is the street itself, a pair of large spiders ominously sits poised for action.",69 in. × 9 ft. 3 in.,281.9 x 175.3,281.94,175.26,111,69,,,,,,,,,,,,,,,
620,"Naked Man, Back View",Lucian Freud,1991,"For more than half a century, Freud has concentrated on depicting the human face and figure in paintings, drawings, and etchings. Earlier examples are smaller in scale and crafted in a distinctive, meticulous style with extreme precision. Freud's major compositions of the last thirty years are considerably larger, with heavily worked and impastoed surfaces. The model for this picture, Leigh Bowery (Australian, 1961–1994), was a performance artist in London.",72 × 54 in.,137.2 x 182.9,137.16,182.88,54,72,,,,,,,,,,,,,,,
701,At the Bar,Marcel Duchamp,1909,N/A,"H. 15-1/8, W. 11-1/2 inches",29.2 x 38.4,29.21,38.4175,11.5,15.125,,,,,,,,,,,,,,,
702,La table servie,Jacques Villon,1912,"""La table servie"" is one of a fascinating series of paintings and works on paper preoccupied with the dining table set for lunch. Villon's subject evolved from a distant view of a table with objects resting on it to multiple views of the objects described in true Cubist fashion. On the unfolded tablecloth a meal is arranged, with an assortment of overlapping objects that undergo a thorough Cubist analysis: a carafe, a Chianti bottle, a bowl, a cup and saucer, a pitcher, a plate, and a bouquet of flowers. As distinct from other working sketches of the still life, the Lehman drawing is primarily a linear exercise, a study of line as it passes rhythmically through objects and space. The squared grid was used to transfer the complex distribution of objects to one of the related paintings in the series.",11 7/16 x 15 7/16 in.,39.2 x 29.1,39.21125,29.05125,15.4375,11.4375,,,,,,,,,,,,,,,
703,"Nude Descending a Staircase, No. 2",Marcel Duchamp,1912,"Nude Descending a Staircase, No. 2 (French: Nu descendant un escalier n° 2) is a 1912 painting by Marcel Duchamp. The work is widely regarded as a Modernist classic and has become one of the most famous of its time. Before its first presentation at the Parisian 1912 Salon des Indépendants, it was rejected by the Cubists as too Futurist. Yet the work was exhibited with the same group at Galeries Dalmau, Exposició d'Art Cubista, in Barcelona, 20 April–10 May 1912, and subsequently caused a huge stir during its exhibition at the 1913 Armory Show in New York. The painting was reproduced in Les Peintres Cubistes, Méditations Esthétiques by Guillaume Apollinaire, published in 1913. Nude Descending a Staircase is in the Louise and Walter Arensberg Collection of the Philadelphia Museum of Art.",,89.2 x 147  ,89.2,148,37.16666667,61.66666667,,,,,,,,,,,,,,,
704,L.H.O.O.Q.,Marcel Duchamp,1919,"L.H.O.O.Q. (French pronunciation: ​[ɛl aʃ o o ky]) is a work of art by Marcel Duchamp. First conceived in 1919, the work is one of what Duchamp referred to as readymades, or more specifically a rectified ready-made.[1] The readymade involves taking mundane, often utilitarian objects not generally considered to be art and transforming them, by adding to them, changing them, or (as in the case of his most famous work Fountain) simply renaming them and placing them in a gallery setting. In L.H.O.O.Q. the objet trouvé (""found object"") is a cheap postcard reproduction of Leonardo da Vinci's Mona Lisa onto which Duchamp drew a moustache and beard in pencil and appended the title.",,12.4 x 19.7 ,12.4,19.7,4.881889764,7.755905512,,,,,,,,,,,,,,,
705,Construction for Noble Ladies,Kurt Schwitters,1919,"The years immediately after World War I were filled with great ferment and experimentation. In this climate, poet, artist, and photographer Kurt Schwitters developed his own unique aesthetic, which he called ""Merz"". The concept was based on assemblage — the combining of ordinary objects with artistic elements. For Schwitters, Merz was an attempt to achieve freedom from all social, political, and cultural fetters. Construction for Noble Ladies is one of Schwitters's large-scale reliefs known as Merzbilder (Merz pictures). It is revolutionary in its incorporation of everyday detritus — a funnel, broken wheels, a flattened metal toy train, and a ticket for shipping a bicycle by train — yet like other Merzbilder, it remains an elegantly composed picture. A traditional portrait of a ""noble lady"" in profile, turned on her side and facing upward, is also included. These various found materials, seemingly whimsical and casual, are transformed into formal artistic elements by their arrangement according to Cubist principles. Embedded in the composition are hints of a narrative.",,83.8 x 102.9,83.82,102.87,33,40.5,,,,,,,,,,,,,,,
706,Flying Dutchman,Man Ray,1920,"Rendered directly with a palette knife, Man Ray’s Flying Dutchman encroaches on pure abstraction and, in keeping with the Dada spirit of rebellion against tradition, manifests the artist’s rejection of conventional easel painting with a brush. He derived this composition from a photograph he captured of sheets hanging from a clothesline in the backyard of a New York City slum. The painting’s title suggests that the image of sheets blowing in the wind reminded him of ship sails and, more specifically, of the celebrated and tragic opera by Richard Wagner (1813–1883), The Flying Dutchman, the name of a ghost ship doomed to sail aimlessly forever, its sails in tatters.",18-1/2 × 24-1/2 in.,62.2 x 47,62.23,46.99,24.5,18.5,,,,,,,,,,,,,,,
707,Weltrevolution,Hannah Höch,1920,"This photograph reproduces a detail of Höch's large photomontage ""Cut with the Kitchen Knife Dada through the Last Weimar Beer Belly Cultural Epoch"". In it, Höch takes aim at the hypocrisies and moral bankruptcy of the Weimar Republic through the radical techniques of disorientation, negation, and disjunction.This new, fragmented art of cut and pasted clippings from the mass media allowed the Dadaists, in the words of George Grosz, to say ""in pictures what would have been banned by the censors."" Here, Höch sets into motion a swirling, anarchic panoply of military leaders, crowds, spinning machine parts, cabaret dancers, and Dadaist pranksters; the work's engagement with the social praxis--in terms of both its subject and its construction--marks a decisive rupture with traditional bourgeois modes of expression. Höch often reworked her photomontages, and this image records a crucial revision in the image's development: the removal of the charged textual fragment ""Weltrevolution"" (World Revolution) and its replacement by the relatively innocuous ""Die grosse Welt Dada"" (Big Dada World).",5 1/4 x 3 7/8 in.,9.8 x 13.3,9.8425,13.335,3.875,5.25,,,,,,,,,,,,,,,
708,ABCD,Raoul Hausmann,1920,"As a founder of the Berlin incarnation of Dada, Hausmann searched for a vital, disruptive, and realistic art, piecing together scraps of word and image—the detritus of the real world—to make symbolic and explosive new pictures. ABCD is a self-portrait. Below the artist's face is an announcement of his performance of a phonetic poem. The letters VOCE (Italian for ""voice"") appear inside an earlike ellipse, and the letters ABCD, a prototypical poem, are clinched in the artist's teeth. The tickets to the Kaiserjubilee in his hat indicate the empty formalities of the social milieu in which he functioned, while the intentionally provocative gynecological diagram alludes to the organic necessity of his art.",5 15/16 x 4 in.,10.2 x 15.4,10.16,15.40933333,4,6.066666667,,,,,,,,,,,,,,,
709,Compass,Man Ray,1920,"Before leaving Paris for New York in 1921, Man Ray made several constructions that questioned the authority of logic and science over the imagination. This quirky instrument, which he called ""Compass,"" was one. The fields of force to which it might respond are as erratic and potentially as destructive as a game of Russian roulette. After making the exposure, Man Ray characteristically disassembled the magnet-and-pistol device, leaving only this single original print as the reminder of a provocative Dada idea. It is ""purely cerebral yet material"" (as Man Ray said of Marcel Duchamp's ""Large Glass""), whimsical yet deadly earnest.",4 5/8 x 3 3/8 in.,8.6 x 11.7,8.5725,11.7475,3.375,4.625,,,,,,,,,,,,,,,
710,The Art Critic,Raoul Hausmann,1920,"Hausmann, a founder member of the Berlin Dada group, developed photomontage as a tool of satire and political protest. Although the 'art critic' is identified by a stamp as George Grosz, another member of the group, the image was probably an anonymous figure cut from a magazine. The fragment of a German banknote behind the critic’s neck suggests that he is controlled by capitalist forces. The words in the background are part of a poem poster made by Hausmann to be pasted on the walls of Berlin.",,25.4 x 31.8,25.4,31.8,10,12.51968504,,,,,,,,,,,,,,,
711,The Skat Players,Otto Dix,1920,"Showing both his Dadaist and Cubist influences, Dix makes a clear social statement using his bold technique in this painting. The skat players are war veterans horribly disfigured and crippled by their service, yet they are still able to play cards. Skat was a card game favored by Krupps, the German manufacturers of weapons. Dix uses the repetition of the cards, the chair legs, and the stumped limbs of the men to build a composition that is disturbing in form as well as content.",,87 x 110,87,110,34.2519685,43.30708661,,,,,,,,,,,,,,,
712,Pragerstrasse,Otto Dix,1920,"Otto Dix paints the street in which he lived in Dresden. In this street is represented the society of the postwar period: a society haunted by death, dehumanized and in full crisis. His work first seeks to denounce the horrors of war and fighting that have destroyed many soldiers (so-called ""broken mouths""). An impression of confusion and imbalance emerges from the table. Otto Dix wants to make uncomfortable, even shock the viewer. Pragerstrassealso shows the social crisis of the post-war society. In fact, the construction of the painting reveals a dislocated humanity. The sidewalk with its cigarette butts, garbage, newspaper stubs and mutilates highlights an inferior world. This lower world is despised by a higher world of which only a part is visible (the body of a woman on the right, the hand of a man resting on a cane on the left). Each world ignores the other. The painter thus shows a society without compassion and without respect for the human person. Finally, Otto Dix denounces anti-Semitism (= hatred of the Jews). The man on a skateboard rolls on a newspaper page with ""The Jews Out"".",,81 x 101,81,101,31.88976378,39.76377953,,,,,,,,,,,,,,,
